job_role,industry,education_level,location,company_type,company_size,years_experience,years_at_company,performance_rating,num_skills,certifications,projects_completed,promotions_received,overtime_hours_week,distance_from_work,monthly_hours,salary_lpa,increment_pct,promotion_prob
Software Engineer,Healthcare,Master's,Bangalore,Indian Large Corp,Mid (50-500),2.4,2.4,3.6,1,1,7,1,3,2,198,21.84,10.4,0.36
Sales Executive,E-Commerce,PhD,Remote,Indian Large Corp,Mid (50-500),1.0,0.7,4.0,5,1,10,1,9,0,185,21.87,14.0,0.61
Cloud Architect,Media & Entertainment,Diploma,Ahmedabad,Government/PSU,Enterprise (5000+),4.0,2.5,3.6,4,0,15,1,4,1,190,22.18,10.3,0.5
Data Scientist,Healthcare,Bachelor's,Chennai,Government/PSU,Enterprise (5000+),4.4,1.7,2.6,3,0,10,1,1,31,173,21.87,7.5,0.26
Marketing Manager,E-Commerce,Master's,Kolkata,Government/PSU,Large (500-5000),7.3,0.8,3.3,3,1,17,2,1,19,166,20.59,10.9,0.39
Fresher / Junior Dev,Education,Bachelor's,Pune,Mid-size,Large (500-5000),8.9,6.5,3.0,7,0,20,2,3,24,184,14.23,9.9,0.41
Senior Software Engineer,E-Commerce,Master's,Tier-2 City,Indian Large Corp,Small (<50),8.1,0.2,4.6,5,0,18,2,9,28,150,23.08,14.8,0.45
Software Engineer,Media & Entertainment,High School,Chennai,MNC,Small (<50),3.6,0.7,2.1,2,0,10,1,4,73,172,11.23,8.5,0.28
Sales Executive,Consulting,Master's,Kolkata,Mid-size,Large (500-5000),2.8,2.8,2.6,5,0,9,1,7,49,173,14.91,11.2,0.39
Software Engineer,Consulting,PhD,Tier-2 City,MNC,Small (<50),5.4,4.0,3.3,5,1,18,1,2,3,165,20.17,10.8,0.36
DevOps Engineer,IT / Software,MBA,Mumbai,MNC,Enterprise (5000+),1.9,0.6,3.8,4,1,5,0,3,6,199,36.87,11.9,0.29
Fresher / Junior Dev,Government/PSU,MBA,Pune,Mid-size,Enterprise (5000+),2.3,2.3,4.9,4,0,9,2,3,64,182,17.76,12.4,0.68
UI/UX Designer,Startup,High School,Hyderabad,Startup,Enterprise (5000+),0.9,0.9,3.3,6,2,9,1,4,55,208,21.13,11.0,0.55
Cybersecurity Analyst,Education,Diploma,Pune,Startup,Large (500-5000),3.2,1.8,3.3,2,1,13,0,12,25,147,21.05,10.9,0.27
HR Manager,Healthcare,Diploma,Pune,Startup,Enterprise (5000+),1.0,1.0,2.5,4,2,11,1,0,3,176,21.27,8.1,0.44
Finance Analyst,Startup,PhD,Kolkata,Indian Large Corp,Mid (50-500),7.4,2.6,3.5,4,2,19,2,9,17,154,21.84,12.5,0.38
Fresher / Junior Dev,E-Commerce,MBA,Delhi NCR,Startup,Mid (50-500),18.2,1.3,3.0,5,2,35,5,4,31,169,29.5,8.0,0.4
Operations Manager,Startup,High School,Mumbai,Mid-size,Small (<50),4.8,1.5,4.1,3,1,13,2,11,1,183,18.02,13.6,0.42
Product Manager,Government/PSU,Diploma,Pune,Indian Large Corp,Enterprise (5000+),6.0,4.1,3.2,5,1,19,2,7,29,189,29.1,10.9,0.27
HR Manager,Consulting,Bachelor's,Bangalore,Mid-size,Mid (50-500),2.9,2.8,5.0,5,0,14,1,10,20,171,22.43,14.2,0.62
Data Scientist,Manufacturing,MBA,Bangalore,Mid-size,Small (<50),5.3,1.8,2.4,5,1,22,1,7,30,162,21.97,6.2,0.32
Finance Analyst,E-Commerce,Master's,Kolkata,MNC,Enterprise (5000+),3.4,1.2,3.3,2,0,7,0,6,37,182,22.59,9.8,0.31
Tech Lead,E-Commerce,Master's,Remote,MNC,Large (500-5000),0.6,0.6,3.1,1,1,10,0,0,20,198,35.74,10.5,0.31
Cloud Architect,Government/PSU,MBA,Ahmedabad,Indian Large Corp,Enterprise (5000+),7.7,3.0,3.0,4,4,21,3,5,6,186,37.44,8.4,0.5
Cybersecurity Analyst,Startup,High School,Tier-2 City,Mid-size,Small (<50),2.4,2.4,2.2,6,1,12,0,0,2,175,10.45,4.9,0.32
Engineering Manager,Finance & Banking,MBA,Ahmedabad,Mid-size,Enterprise (5000+),6.4,0.6,3.2,5,1,18,1,2,64,197,36.46,11.2,0.36
HR Manager,Education,Master's,Chennai,Indian Large Corp,Enterprise (5000+),6.8,0.8,3.1,6,1,17,3,12,14,172,24.37,6.7,0.47
Operations Manager,Consulting,MBA,Tier-2 City,Startup,Large (500-5000),7.1,7.1,3.2,4,1,19,1,1,0,184,21.9,9.5,0.27
Operations Manager,Startup,PhD,Chennai,Mid-size,Enterprise (5000+),2.0,1.2,3.0,6,0,7,0,8,12,163,21.4,10.0,0.28
Data Scientist,Finance & Banking,Diploma,Remote,Government/PSU,Large (500-5000),0.0,0.0,3.8,3,0,7,0,3,36,178,17.56,10.8,0.26
Finance Analyst,Startup,Bachelor's,Kolkata,MNC,Enterprise (5000+),1.2,1.2,3.3,4,1,7,0,5,12,174,19.14,11.0,0.39
HR Manager,Consulting,MBA,Delhi NCR,Mid-size,Enterprise (5000+),3.1,0.1,2.8,5,1,7,1,6,23,152,25.73,9.1,0.33
Finance Analyst,Government/PSU,Master's,Ahmedabad,Mid-size,Mid (50-500),0.2,0.2,4.0,5,2,11,0,1,19,171,15.4,11.9,0.37
QA Engineer,E-Commerce,PhD,Mumbai,Indian Large Corp,Mid (50-500),4.8,1.8,2.9,3,0,15,3,3,8,177,28.51,10.4,0.34
Operations Manager,Media & Entertainment,Bachelor's,Ahmedabad,Startup,Large (500-5000),10.6,3.7,3.9,8,0,23,2,0,26,172,25.95,13.1,0.48
Cybersecurity Analyst,Startup,High School,Mumbai,Government/PSU,Enterprise (5000+),0.8,0.8,3.7,6,1,13,0,8,30,197,18.64,11.0,0.36
DevOps Engineer,Government/PSU,Bachelor's,Remote,Government/PSU,Mid (50-500),0.7,0.7,3.9,4,0,8,0,6,54,170,13.35,12.3,0.36
ML Engineer,E-Commerce,PhD,Remote,MNC,Small (<50),2.1,2.1,2.9,4,0,16,1,0,15,171,26.76,8.7,0.38
Senior Software Engineer,Startup,Bachelor's,Bangalore,Mid-size,Large (500-5000),6.6,0.7,3.8,3,1,18,2,5,22,179,35.18,8.6,0.44
Cloud Architect,Finance & Banking,PhD,Ahmedabad,Indian Large Corp,Enterprise (5000+),8.3,8.3,4.5,3,0,18,2,7,2,168,37.28,14.4,0.46
DevOps Engineer,Consulting,MBA,Pune,MNC,Large (500-5000),1.6,1.6,3.0,2,0,12,1,10,13,144,25.06,11.0,0.38
Tech Lead,Startup,High School,Hyderabad,Mid-size,Large (500-5000),6.4,0.9,4.8,5,1,22,2,9,14,178,33.57,14.7,0.49
Product Manager,Education,Bachelor's,Delhi NCR,Startup,Small (<50),3.7,2.2,2.7,2,1,12,1,4,2,183,21.12,6.3,0.35
ML Engineer,Startup,Diploma,Hyderabad,Indian Large Corp,Small (<50),16.8,5.1,2.6,4,2,31,5,8,62,181,27.25,7.5,0.34
UI/UX Designer,Healthcare,Bachelor's,Hyderabad,Mid-size,Mid (50-500),1.4,1.4,3.6,3,0,12,0,18,4,162,15.52,12.7,0.28
Cloud Architect,Government/PSU,MBA,Chennai,Government/PSU,Small (<50),9.6,5.3,3.5,3,0,23,2,12,15,200,23.93,12.6,0.34
Tech Lead,E-Commerce,Master's,Tier-2 City,Indian Large Corp,Small (<50),6.5,4.7,4.1,5,0,15,2,4,35,177,29.92,11.8,0.42
Engineering Manager,IT / Software,Master's,Tier-2 City,Startup,Enterprise (5000+),9.4,5.2,3.7,6,1,23,2,0,95,161,57.88,11.9,0.47
DevOps Engineer,Government/PSU,PhD,Tier-2 City,Government/PSU,Mid (50-500),6.3,1.1,2.7,5,3,16,1,1,10,174,13.32,6.8,0.36
Fresher / Junior Dev,Government/PSU,Diploma,Kolkata,Indian Large Corp,Small (<50),7.6,0.4,3.3,11,2,20,2,0,20,179,12.8,11.8,0.47
Tech Lead,Government/PSU,Master's,Hyderabad,Government/PSU,Mid (50-500),2.5,2.5,3.7,7,2,15,1,5,20,183,22.58,8.6,0.45
UI/UX Designer,Education,Master's,Bangalore,Government/PSU,Enterprise (5000+),5.4,1.1,3.5,4,2,19,2,7,25,185,19.97,9.4,0.44
Tech Lead,Media & Entertainment,Master's,Chennai,Mid-size,Small (<50),10.1,0.5,2.6,6,1,22,2,11,29,193,27.4,6.3,0.37
Senior Software Engineer,Manufacturing,PhD,Pune,Mid-size,Small (<50),2.7,0.7,2.9,6,0,11,0,3,0,205,21.78,8.4,0.35
QA Engineer,E-Commerce,PhD,Remote,Startup,Mid (50-500),7.7,1.2,3.3,6,0,24,1,6,1,168,23.51,9.9,0.42
Engineering Manager,IT / Software,PhD,Mumbai,MNC,Enterprise (5000+),5.0,1.1,2.3,2,2,21,1,6,2,165,65.84,7.6,0.21
Engineering Manager,E-Commerce,Diploma,Delhi NCR,Startup,Large (500-5000),3.4,3.4,3.0,4,1,10,1,2,47,170,45.44,7.7,0.39
ML Engineer,Media & Entertainment,Master's,Delhi NCR,Mid-size,Large (500-5000),8.4,0.8,3.4,3,0,16,3,2,10,163,30.36,9.4,0.44
Cybersecurity Analyst,IT / Software,Diploma,Chennai,Government/PSU,Large (500-5000),9.1,3.7,3.5,4,2,21,2,9,11,180,28.21,11.1,0.38
Data Analyst,Consulting,PhD,Kolkata,Startup,Small (<50),11.7,0.4,2.5,5,1,24,3,7,27,185,25.36,9.3,0.36
Data Analyst,Government/PSU,Master's,Chennai,Indian Large Corp,Enterprise (5000+),0.7,0.7,3.7,6,2,10,1,4,4,167,22.91,10.3,0.68
Product Manager,Consulting,Bachelor's,Tier-2 City,MNC,Enterprise (5000+),4.7,0.7,2.8,6,2,11,2,7,40,167,33.87,9.0,0.34
Senior Software Engineer,Media & Entertainment,MBA,Pune,MNC,Enterprise (5000+),3.1,0.2,3.1,7,6,12,1,6,4,136,43.4,9.5,0.42
DevOps Engineer,Consulting,PhD,Hyderabad,Government/PSU,Small (<50),12.9,1.5,3.1,5,3,27,3,6,19,151,23.74,7.1,0.34
Cloud Architect,Education,Diploma,Chennai,Government/PSU,Enterprise (5000+),19.7,2.2,2.7,5,0,39,5,2,7,147,39.69,10.5,0.44
ML Engineer,Media & Entertainment,Master's,Hyderabad,Government/PSU,Large (500-5000),0.4,0.0,3.1,4,0,12,0,6,10,169,17.06,9.0,0.23
Senior Software Engineer,IT / Software,Master's,Chennai,MNC,Mid (50-500),4.4,2.3,3.0,2,0,18,1,2,31,212,26.6,6.4,0.44
Senior Software Engineer,Startup,Master's,Kolkata,Startup,Mid (50-500),1.9,1.0,2.5,6,2,11,0,0,8,199,24.06,10.9,0.31
Data Analyst,Media & Entertainment,Diploma,Mumbai,Mid-size,Enterprise (5000+),13.4,5.2,3.4,8,0,29,3,2,11,174,31.56,10.3,0.48
Sales Executive,Media & Entertainment,Diploma,Ahmedabad,MNC,Mid (50-500),1.4,1.4,3.0,1,1,9,1,9,2,169,11.0,8.9,0.34
Fresher / Junior Dev,Consulting,MBA,Hyderabad,Startup,Mid (50-500),0.3,0.3,4.2,8,1,9,2,10,24,181,19.21,11.3,0.88
Data Scientist,Startup,Bachelor's,Delhi NCR,Mid-size,Small (<50),8.1,1.5,3.9,3,0,16,3,14,18,195,22.76,12.8,0.44
HR Manager,Finance & Banking,Master's,Ahmedabad,Indian Large Corp,Small (<50),4.3,4.3,3.6,5,0,14,1,1,24,170,16.83,12.6,0.51
UI/UX Designer,Healthcare,PhD,Remote,MNC,Large (500-5000),3.4,1.6,3.8,5,0,14,1,8,4,162,25.66,9.0,0.48
Operations Manager,IT / Software,Diploma,Kolkata,Government/PSU,Large (500-5000),4.5,0.4,3.5,6,0,11,2,13,2,152,15.73,11.8,0.51
Operations Manager,Education,Diploma,Tier-2 City,MNC,Enterprise (5000+),2.9,2.9,2.5,6,1,12,1,2,17,168,17.59,6.0,0.38
QA Engineer,Healthcare,Diploma,Tier-2 City,Startup,Enterprise (5000+),2.4,1.1,3.4,3,1,14,0,0,21,188,16.6,12.1,0.25
DevOps Engineer,Education,PhD,Bangalore,Startup,Enterprise (5000+),0.2,0.2,4.2,6,2,11,0,15,23,152,29.82,11.8,0.37
Fresher / Junior Dev,Consulting,Bachelor's,Remote,Mid-size,Enterprise (5000+),9.3,2.9,1.7,7,0,19,2,0,17,197,16.6,5.5,0.2
HR Manager,Consulting,PhD,Pune,MNC,Small (<50),4.2,4.2,3.3,5,1,9,1,2,30,180,25.58,10.9,0.35
DevOps Engineer,Government/PSU,PhD,Ahmedabad,Indian Large Corp,Large (500-5000),1.7,1.7,4.5,3,0,11,1,12,23,176,18.97,12.7,0.55
Software Engineer,IT / Software,Bachelor's,Delhi NCR,Mid-size,Small (<50),1.0,1.0,2.7,2,2,9,0,2,20,165,15.0,7.8,0.23
Software Engineer,Media & Entertainment,PhD,Chennai,Mid-size,Enterprise (5000+),5.1,5.1,3.4,2,1,13,1,0,20,171,24.06,10.9,0.35
ML Engineer,Consulting,Diploma,Ahmedabad,Government/PSU,Large (500-5000),17.4,1.0,2.2,4,1,33,5,0,48,199,23.26,8.6,0.21
Cloud Architect,E-Commerce,Master's,Bangalore,Government/PSU,Small (<50),1.6,0.8,4.0,6,1,9,1,8,40,185,25.7,13.1,0.54
ML Engineer,Finance & Banking,Bachelor's,Bangalore,Mid-size,Small (<50),5.9,5.9,3.4,5,1,17,2,6,0,128,33.05,8.8,0.41
Cloud Architect,Government/PSU,High School,Pune,Government/PSU,Mid (50-500),0.5,0.2,2.4,3,1,7,2,11,29,218,16.04,8.4,0.65
Data Scientist,Education,Master's,Bangalore,Government/PSU,Small (<50),1.1,1.1,2.4,5,0,7,1,8,12,212,12.47,5.9,0.47
UI/UX Designer,Finance & Banking,PhD,Mumbai,Mid-size,Large (500-5000),11.8,2.9,3.1,6,1,25,3,8,30,162,35.6,9.9,0.43
Cybersecurity Analyst,Finance & Banking,Master's,Hyderabad,Mid-size,Small (<50),3.2,1.7,2.7,2,0,13,1,4,68,179,18.51,6.6,0.32
Finance Analyst,Consulting,Master's,Bangalore,MNC,Small (<50),4.4,1.4,2.5,1,1,15,3,1,6,172,23.77,6.6,0.45
Marketing Manager,Media & Entertainment,Bachelor's,Pune,MNC,Mid (50-500),0.7,0.1,3.3,4,4,7,1,10,1,175,23.98,7.6,0.54
ML Engineer,Government/PSU,PhD,Bangalore,Startup,Small (<50),3.9,3.9,3.0,6,2,14,0,3,17,190,23.59,10.1,0.36
Cybersecurity Analyst,Startup,Bachelor's,Pune,Government/PSU,Mid (50-500),3.7,3.7,4.2,4,0,19,0,3,8,187,17.74,11.8,0.42
DevOps Engineer,Consulting,Master's,Tier-2 City,MNC,Mid (50-500),4.0,1.9,2.8,3,0,20,1,3,0,180,21.84,9.7,0.36
Cybersecurity Analyst,Media & Entertainment,Diploma,Hyderabad,Startup,Large (500-5000),1.3,1.3,3.6,6,2,7,1,4,52,160,26.97,10.1,0.59
Fresher / Junior Dev,E-Commerce,Diploma,Pune,Mid-size,Large (500-5000),1.5,0.2,1.0,5,0,12,2,6,29,182,8.4,4.1,0.44
Operations Manager,Finance & Banking,PhD,Ahmedabad,MNC,Mid (50-500),2.0,0.9,3.9,9,0,7,1,10,64,195,26.46,12.3,0.49
HR Manager,Finance & Banking,Bachelor's,Pune,Indian Large Corp,Large (500-5000),6.0,1.2,3.0,3,0,14,1,8,4,169,21.81,10.8,0.25
Finance Analyst,Startup,PhD,Kolkata,Startup,Mid (50-500),6.5,6.5,3.5,7,3,15,2,3,7,153,22.4,9.8,0.45
Engineering Manager,IT / Software,High School,Bangalore,Mid-size,Large (500-5000),0.6,0.6,2.9,5,1,10,0,4,10,218,31.62,7.1,0.21
Business Analyst,Media & Entertainment,MBA,Bangalore,Mid-size,Enterprise (5000+),0.6,0.6,2.8,3,0,7,1,11,61,166,19.38,8.5,0.41
Fresher / Junior Dev,E-Commerce,PhD,Chennai,MNC,Large (500-5000),0.5,0.5,2.9,4,2,9,0,8,45,192,23.01,10.0,0.29
Software Engineer,Startup,PhD,Kolkata,MNC,Enterprise (5000+),8.5,8.5,4.5,5,2,18,3,9,16,166,34.55,13.7,0.55
Senior Software Engineer,Startup,MBA,Tier-2 City,Startup,Mid (50-500),0.7,0.7,2.3,4,2,6,0,4,92,191,17.74,7.0,0.29
Data Analyst,IT / Software,Master's,Remote,Government/PSU,Small (<50),3.6,0.7,4.1,6,0,17,0,3,11,154,15.23,11.0,0.47
Cybersecurity Analyst,Media & Entertainment,Master's,Tier-2 City,MNC,Mid (50-500),5.6,4.7,3.1,8,2,17,1,7,17,198,25.87,8.0,0.41
Software Engineer,Media & Entertainment,Diploma,Pune,Startup,Small (<50),2.3,1.2,3.8,8,1,9,1,5,10,178,18.01,10.9,0.53
Product Manager,Finance & Banking,MBA,Chennai,MNC,Small (<50),3.5,2.7,3.2,4,0,15,1,4,4,163,31.14,10.0,0.48
Cybersecurity Analyst,Consulting,Bachelor's,Pune,Startup,Enterprise (5000+),9.3,1.2,3.0,7,1,22,3,5,1,195,36.45,11.1,0.35
ML Engineer,Government/PSU,Bachelor's,Hyderabad,MNC,Mid (50-500),6.2,6.2,2.9,2,0,18,1,0,23,169,23.55,8.2,0.28
Cloud Architect,Education,Diploma,Mumbai,Indian Large Corp,Enterprise (5000+),0.8,0.8,2.9,7,1,9,1,0,17,147,28.54,8.4,0.52
Cybersecurity Analyst,Media & Entertainment,MBA,Ahmedabad,Startup,Mid (50-500),3.2,0.3,3.3,6,3,11,0,0,22,186,24.49,11.5,0.42
Product Manager,Consulting,MBA,Ahmedabad,Government/PSU,Large (500-5000),5.4,0.8,3.1,4,1,15,2,6,6,197,21.28,9.4,0.37
Fresher / Junior Dev,Consulting,Bachelor's,Bangalore,Government/PSU,Small (<50),6.6,1.7,2.7,3,0,15,3,2,35,189,10.82,8.7,0.41
Tech Lead,Media & Entertainment,PhD,Remote,Startup,Small (<50),0.6,0.6,2.2,5,1,8,0,4,4,124,26.19,7.4,0.3
QA Engineer,Healthcare,Diploma,Mumbai,Mid-size,Enterprise (5000+),10.7,10.6,2.7,4,0,25,3,9,20,185,26.86,7.6,0.32
Data Scientist,IT / Software,Master's,Pune,Indian Large Corp,Enterprise (5000+),1.4,0.3,3.0,6,0,8,0,11,10,164,32.59,9.2,0.34
Data Analyst,Manufacturing,Bachelor's,Ahmedabad,MNC,Enterprise (5000+),4.7,1.4,2.3,2,0,10,2,0,5,174,20.91,7.5,0.29
DevOps Engineer,Manufacturing,High School,Pune,MNC,Large (500-5000),2.2,2.2,2.9,5,0,12,0,6,11,205,20.39,6.9,0.29
Product Manager,Manufacturing,Master's,Pune,Mid-size,Mid (50-500),2.5,1.4,3.7,7,0,11,0,7,37,192,21.77,8.7,0.39
Engineering Manager,Startup,Master's,Pune,Mid-size,Large (500-5000),0.3,0.3,3.4,7,2,11,2,7,0,163,37.8,6.8,0.68
Data Analyst,Startup,PhD,Mumbai,Indian Large Corp,Enterprise (5000+),8.4,3.5,2.8,7,3,20,4,3,5,176,37.71,7.6,0.47
Sales Executive,Manufacturing,High School,Remote,Government/PSU,Enterprise (5000+),0.8,0.8,3.6,2,2,9,0,3,12,218,11.82,10.0,0.28
UI/UX Designer,IT / Software,Diploma,Remote,Indian Large Corp,Mid (50-500),8.4,0.2,1.5,1,0,16,2,6,25,159,16.55,5.9,0.18
QA Engineer,Startup,Diploma,Kolkata,Mid-size,Mid (50-500),7.4,0.6,2.9,5,1,17,2,1,17,184,16.33,10.8,0.36
Marketing Manager,Government/PSU,Diploma,Kolkata,MNC,Enterprise (5000+),1.3,1.3,5.0,4,0,16,0,5,17,207,22.33,12.0,0.38
Marketing Manager,Finance & Banking,PhD,Pune,Startup,Large (500-5000),1.6,1.6,3.6,8,1,4,0,7,17,138,29.06,9.5,0.43
Finance Analyst,E-Commerce,High School,Kolkata,MNC,Mid (50-500),1.4,1.4,3.7,6,0,15,1,8,12,170,17.96,14.3,0.62
Cloud Architect,Manufacturing,Diploma,Delhi NCR,Mid-size,Large (500-5000),3.4,1.5,3.5,1,1,16,2,4,36,193,26.73,9.7,0.4
DevOps Engineer,Finance & Banking,Master's,Tier-2 City,Indian Large Corp,Mid (50-500),8.5,2.0,4.4,2,3,20,3,9,47,186,28.22,12.0,0.53
UI/UX Designer,E-Commerce,PhD,Mumbai,Indian Large Corp,Large (500-5000),0.5,0.5,3.9,7,1,5,1,12,38,192,28.59,12.9,0.55
Data Scientist,Consulting,PhD,Chennai,MNC,Small (<50),1.6,1.6,3.5,7,2,7,1,7,8,172,27.2,14.4,0.45
Tech Lead,Consulting,PhD,Pune,Indian Large Corp,Large (500-5000),2.8,0.0,2.8,3,0,14,0,4,24,161,29.08,9.6,0.29
ML Engineer,Consulting,Master's,Bangalore,Mid-size,Enterprise (5000+),9.0,1.8,2.1,4,0,25,2,2,40,179,34.1,7.6,0.21
Sales Executive,IT / Software,MBA,Tier-2 City,Mid-size,Mid (50-500),5.2,2.0,2.5,2,1,14,2,8,42,158,14.28,10.5,0.45
Software Engineer,E-Commerce,Master's,Ahmedabad,MNC,Mid (50-500),1.3,1.3,3.3,4,3,10,0,9,8,153,20.09,10.7,0.33
Cybersecurity Analyst,Healthcare,Diploma,Pune,MNC,Mid (50-500),3.0,3.0,3.1,4,0,14,1,10,0,195,27.26,10.3,0.28
Engineering Manager,Government/PSU,Diploma,Tier-2 City,MNC,Mid (50-500),0.3,0.3,3.4,4,0,11,1,3,6,181,27.27,13.1,0.54
ML Engineer,Government/PSU,Master's,Delhi NCR,Startup,Mid (50-500),6.8,3.9,2.6,5,0,20,3,5,92,165,31.17,6.5,0.41
HR Manager,Education,Diploma,Delhi NCR,Startup,Enterprise (5000+),3.5,0.0,2.7,8,3,15,0,7,58,175,25.1,10.9,0.37
UI/UX Designer,Manufacturing,Master's,Kolkata,Government/PSU,Large (500-5000),1.0,1.0,2.5,6,1,12,1,14,32,153,15.13,9.2,0.64
Operations Manager,Finance & Banking,MBA,Remote,Mid-size,Enterprise (5000+),3.5,3.5,2.9,2,0,14,0,2,26,162,22.22,9.1,0.33
Sales Executive,Government/PSU,Master's,Pune,Government/PSU,Mid (50-500),0.6,0.6,3.3,7,1,8,0,7,30,196,12.96,10.0,0.45
Tech Lead,Manufacturing,Bachelor's,Remote,Government/PSU,Mid (50-500),1.5,0.4,3.6,4,1,8,1,5,40,174,22.94,10.8,0.47
Data Analyst,Education,Diploma,Ahmedabad,Mid-size,Enterprise (5000+),0.7,0.7,3.6,4,1,12,1,6,5,195,12.48,10.3,0.57
Product Manager,Education,PhD,Kolkata,Government/PSU,Large (500-5000),10.7,1.8,3.8,1,0,23,3,9,18,185,23.08,12.3,0.38
Engineering Manager,Consulting,High School,Hyderabad,Startup,Enterprise (5000+),3.2,3.2,3.0,5,1,9,1,6,16,218,40.87,7.9,0.34
QA Engineer,Media & Entertainment,PhD,Hyderabad,Indian Large Corp,Small (<50),10.1,1.6,3.9,4,0,25,2,6,10,184,21.73,9.2,0.42
Business Analyst,Education,High School,Mumbai,Indian Large Corp,Small (<50),0.9,0.9,4.0,4,0,6,1,1,29,156,11.99,12.9,0.58
Fresher / Junior Dev,Startup,Master's,Bangalore,Mid-size,Mid (50-500),1.8,0.2,3.0,4,1,12,0,5,16,164,14.19,8.4,0.35
Marketing Manager,Healthcare,High School,Tier-2 City,Government/PSU,Mid (50-500),0.9,0.9,3.6,2,2,7,1,6,0,157,8.92,13.5,0.54
Business Analyst,Finance & Banking,Diploma,Chennai,MNC,Small (<50),4.8,4.8,4.7,6,1,13,1,5,9,234,25.39,14.2,0.54
Data Scientist,Education,Master's,Pune,Government/PSU,Small (<50),4.6,4.1,1.5,5,0,15,1,5,31,155,12.93,2.3,0.22
Product Manager,Education,Diploma,Delhi NCR,Government/PSU,Small (<50),0.6,0.6,3.4,8,2,4,0,10,50,146,16.55,9.9,0.46
Data Scientist,Healthcare,MBA,Tier-2 City,Government/PSU,Large (500-5000),6.3,2.6,4.6,4,1,16,1,9,12,203,20.25,12.6,0.44
Business Analyst,Finance & Banking,High School,Chennai,Mid-size,Mid (50-500),0.1,0.1,3.1,5,1,13,1,8,1,177,14.99,10.6,0.5
Tech Lead,Media & Entertainment,Master's,Mumbai,Mid-size,Enterprise (5000+),1.4,1.1,3.1,2,1,8,0,7,15,180,33.37,12.2,0.27
HR Manager,Finance & Banking,Bachelor's,Chennai,Government/PSU,Small (<50),4.3,3.3,4.1,1,2,15,2,3,7,197,15.85,12.4,0.47
Software Engineer,Education,PhD,Kolkata,MNC,Enterprise (5000+),1.4,1.4,2.6,4,0,16,1,0,30,176,18.87,8.7,0.44
Product Manager,Education,Diploma,Chennai,MNC,Large (500-5000),6.4,3.6,2.6,3,1,14,2,0,34,169,25.43,7.6,0.23
Cybersecurity Analyst,E-Commerce,High School,Kolkata,Indian Large Corp,Mid (50-500),0.4,0.4,2.0,6,1,9,0,8,27,173,14.88,5.8,0.33
Marketing Manager,Media & Entertainment,Master's,Remote,Indian Large Corp,Mid (50-500),1.9,1.5,3.1,2,1,7,0,0,2,191,16.33,9.9,0.32
DevOps Engineer,Media & Entertainment,High School,Delhi NCR,Startup,Small (<50),4.6,3.8,2.4,5,2,15,3,4,5,186,19.72,8.1,0.49
HR Manager,IT / Software,Bachelor's,Kolkata,Indian Large Corp,Small (<50),9.9,3.3,2.2,6,2,24,3,8,23,162,20.8,8.9,0.34
Senior Software Engineer,Manufacturing,MBA,Bangalore,MNC,Large (500-5000),9.4,0.7,4.2,5,0,30,2,14,0,125,44.31,12.0,0.44
Fresher / Junior Dev,Startup,MBA,Ahmedabad,MNC,Enterprise (5000+),4.7,0.8,3.7,3,0,10,1,11,5,202,20.01,11.9,0.47
ML Engineer,Startup,PhD,Tier-2 City,MNC,Small (<50),8.0,5.0,3.8,7,1,29,2,9,4,206,28.74,13.8,0.4
Tech Lead,Government/PSU,MBA,Chennai,Indian Large Corp,Enterprise (5000+),3.6,1.2,3.4,2,1,17,0,13,8,154,30.62,7.1,0.27
Operations Manager,Education,Master's,Chennai,MNC,Mid (50-500),4.3,4.3,2.1,9,2,11,1,5,11,171,20.81,7.0,0.43
UI/UX Designer,Finance & Banking,MBA,Kolkata,Government/PSU,Mid (50-500),0.6,0.6,3.6,6,1,9,2,0,7,177,14.3,9.3,0.78
Data Scientist,IT / Software,Bachelor's,Ahmedabad,Indian Large Corp,Enterprise (5000+),5.4,3.9,2.7,4,0,18,1,8,18,167,25.79,8.9,0.27
Business Analyst,Media & Entertainment,High School,Ahmedabad,MNC,Large (500-5000),11.0,0.7,2.3,5,3,28,2,8,18,183,23.45,9.4,0.27
Business Analyst,IT / Software,MBA,Hyderabad,Government/PSU,Small (<50),4.9,2.0,2.8,5,3,11,1,3,6,193,16.4,9.2,0.38
Engineering Manager,IT / Software,Diploma,Bangalore,Mid-size,Enterprise (5000+),13.4,1.6,2.6,5,1,29,3,4,3,188,68.67,7.4,0.36
Product Manager,IT / Software,Master's,Ahmedabad,MNC,Mid (50-500),4.5,4.1,4.1,7,3,14,2,4,10,156,35.21,10.2,0.6
Marketing Manager,Manufacturing,Master's,Tier-2 City,Mid-size,Enterprise (5000+),0.4,0.4,2.9,6,0,11,0,3,9,182,16.12,11.0,0.29
Engineering Manager,Media & Entertainment,MBA,Tier-2 City,Government/PSU,Mid (50-500),0.1,0.1,4.3,5,3,5,0,0,72,181,20.32,12.3,0.41
Data Analyst,E-Commerce,Diploma,Ahmedabad,Indian Large Corp,Small (<50),1.0,0.3,3.3,6,0,12,1,5,3,161,15.47,11.5,0.54
DevOps Engineer,E-Commerce,Diploma,Remote,Indian Large Corp,Mid (50-500),2.6,0.9,2.4,5,0,11,2,1,87,191,21.33,8.1,0.51
